ZONECODE,SPC11_CODE
S01000001,16000076
S01000002,16000076
S01000003,16000076
S01000004,16000076
S01000005,16000076
S01000006,16000076
S01000007,16000076
S01000008,16000076
S01000009,16000076
S01000010,16000076
S01000011,16000076
S01000012,16000076
S01000013,16000076
S01000014,16000076
S01000015,16000076
S01000016,16000076
S01000017,16000076
S01000018,16000076
S01000019,16000076
S01000020,16000076
S01000021,16000076
S01000022,16000076
S01000023,16000076
S01000024,16000076
S01000025,16000076
S01000026,16000076
S01000027,16000076
S01000028,16000076
S01000029,16000076
S01000030,16000076
S01000031,16000076
S01000032,16000076
S01000033,16000076
S01000034,16000076
S01000035,16000076
S01000036,16000076
S01000037,16000076
S01000038,16000076
S01000039,16000076
S01000040,16000076
S01000041,16000076
S01000042,16000076
S01000043,16000076
S01000044,16000076
S01000045,16000076
S01000046,16000076
S01000047,16000074
S01000048,16000076
S01000049,16000076
S01000050,16000074
S01000051,16000076
S01000052,16000076
S01000053,16000074
S01000054,16000076
S01000055,16000076
S01000056,16000076
S01000057,16000076
S01000058,16000076
S01000059,16000074
S01000060,16000076
S01000061,16000076
S01000062,16000074
S01000063,16000074
S01000064,16000076
S01000065,16000074
S01000066,16000076
S01000067,16000076
S01000068,16000074
S01000069,16000076
S01000070,16000076
S01000071,16000076
S01000072,16000076
S01000073,16000076
S01000074,16000076
S01000075,16000074
S01000076,16000076
S01000077,16000074
S01000078,16000076
S01000079,16000074
S01000080,16000074
S01000081,16000074
S01000082,16000076
S01000083,16000074
S01000084,16000076
S01000085,16000074
S01000086,16000074
S01000087,16000076
S01000088,16000074
S01000089,16000076
S01000090,16000074
S01000091,16000074
S01000092,16000074
S01000093,16000074
S01000094,16000074
S01000095,16000074
S01000096,16000076
S01000097,16000074
S01000098,16000074
S01000099,16000076
S01000100,16000074
S01000101,16000074
S01000102,16000074
S01000103,16000074
S01000104,16000074
S01000105,16000076
S01000106,16000074
S01000107,16000074
S01000108,16000074
S01000109,16000074
S01000110,16000076
S01000111,16000074
S01000112,16000074
S01000113,16000074
S01000114,16000075
S01000115,16000075
S01000116,16000074
S01000117,16000074
S01000118,16000075
S01000119,16000074
S01000120,16000074
S01000121,16000074
S01000122,16000075
S01000123,16000075
S01000124,16000074
S01000125,16000074
S01000126,16000074
S01000127,16000074
S01000128,16000074
S01000129,16000074
S01000130,16000074
S01000131,16000074
S01000132,16000074
S01000133,16000075
S01000134,16000075
S01000135,16000074
S01000136,16000075
S01000137,16000074
S01000138,16000074
S01000139,16000075
S01000140,16000075
S01000141,16000074
S01000142,16000075
