 Adam;George;Scottish National Party;Paisley;http://www.scottish.parliament.uk/images/MSPs and office holders Session 4/GeorgeAdamMSP20110511.jpg
 Adamson;Clare;Scottish National Party;Central Scotland;http://www.scottish.parliament.uk/images/MSPs and office holders Session 4/ClareAdamsonMSP20110507.JPG
 Allan;Alasdair;Scottish National Party;Na h-Eileanan an Iar;http://www.scottish.parliament.uk/images/MSPs and office holders Session 4/AlasdairAllanMSP20120530.jpg
 Allard;Christian;Scottish National Party;North East Scotland;http://www.scottish.parliament.uk/images/MSPs and office holders Session 4/ChristianAllardMSP_20130515.jpg
 Baillie;Jackie;Scottish Labour;Dumbarton;http://www.scottish.parliament.uk/images/MSPs and office holders Session 4/JackieBaillieMSP20110511.JPG
 Baker;Richard;Scottish Labour;North East Scotland;http://www.scottish.parliament.uk/images/MSPs and office holders Session 4/RichardBakerMSP20110511.JPG
 Baker;Claire;Scottish Labour;Mid Scotland and Fife;http://www.scottish.parliament.uk/images/MSPs and office holders Session 4/ClaireBakerMSP20110825.jpg
 Baxter;Jayne;Scottish Labour;Mid Scotland and Fife;http://www.scottish.parliament.uk/images/MSPs and office holders Session 4/JayneBaxterMSP20121211.jpg
 Beamish;Claudia;Scottish Labour;South Scotland;http://www.scottish.parliament.uk/images/MSPs and office holders Session 4/ClaudiaBeamishMSP20110510.JPG
 Beattie;Colin;Scottish National Party;Midlothian North and Musselburgh;http://www.scottish.parliament.uk/images/MSPs and office holders Session 4/ColinBeattieMSP20110509.JPG
 Biagi;Marco;Scottish National Party;Edinburgh Central;http://www.scottish.parliament.uk/images/MSPs and office holders Session 4/MarcoBiagiMSP20110509.JPG
 Bibby;Neil;Scottish Labour;West Scotland;http://www.scottish.parliament.uk/images/MSPs and office holders Session 4/NeilBibbyMSP20110510.JPG
 Boyack;Sarah;Scottish Labour;Lothian;http://www.scottish.parliament.uk/images/MSPs and office holders Session 4/SarahBoyackMSP20120529.jpg
 Brodie;Chic;Scottish National Party;South Scotland;http://www.scottish.parliament.uk/images/MSPs and office holders Session 4/ChicBrodieMSO20110507.jpg
 Brown;Keith;Scottish National Party;Clackmannanshire and Dunblane;http://www.scottish.parliament.uk/images/MSPs and office holders Session 4/KeithBrownMSP20110511.JPG
 Brown;Gavin;Scottish Conservative and Unionist Party;Lothian;http://www.scottish.parliament.uk/images/MSPs and office holders Session 4/GavinBrownMSP20110510.JPG
