person_id	name	constituency	party	total_interventions	avg_intervention_len	total_mentions_of_constituency	interventions_with_mention	mentions_percentage_of_total_text	percentage_of_interventions_with_mention
14071	Alex Neil	Airdrie and Shotts	Scottish National Party	3373	136.295879039	7	5	1.51228733459E-005	0.00148
14099	Elaine Smith	Coatbridge and Chryston	Labour	1298	161.255007704	36	33	0.00016993	0.02542
14009	Jamie Hepburn	Cumbernauld and Kilsyth	Scottish National Party	872	210.228211009	50	35	0.0002697308	0.04014
13982	Linda Fabiani	East Kilbride	Scottish National Party	1609	202.379738968	180	96	0.0005486366	0.05966
25094	Angus MacDonald	Falkirk East	Scottish National Party	121	214.338842975	9	4	0.0003427135	0.03306
14043	Michael Matheson	Falkirk West	Scottish National Party	1268	261.496845426	6	3	1.79446228937E-005	0.00237
14056	Christina McKelvie	Hamilton, Larkhall and Stonehouse	Scottish National Party	469	268.884861407	6	5	4.71153619638E-005	0.01066
25110	John Pentland	Motherwell and Wishaw	Labour	163	196.098159509	14	10	0.000432379	0.06135
14059	Michael McMahon	Uddingston and Bellshill	Labour	706	217.247875354	1	1	6.46910034222E-006	0.00142
14024	Bill Kidd	Glasgow Anniesland	Scottish National Party	210	205.828571429	14	14	0.0003216394	0.06667
25082	James Dornan	Glasgow Cathcart	Scottish National Party	198	310.343434343	11	10	0.0001769541	0.05051
14117	Sandra White	Glasgow Kelvin	Scottish National Party	1316	218.553191489	24	20	8.2732374557E-005	0.01520
13984	Patricia Ferguson	Glasgow Maryhill and Springburn	Labour	2916	110.050754458	2	2	6.18905712809E-006	0.00069
14025	Johann Lamont	Glasgow Pollok	Labour	2437	203.599917932	12	12	2.40111411695E-005	0.00492
14039	Paul Martin	Glasgow Provan	Labour	765	173.287581699	7	6	0.000052458	0.00784
25101	John Mason	Glasgow Shettleston	Scottish National Party	468	213.997863248	10	9	9.85474111595E-005	0.01923
14105	Nicola Sturgeon	Glasgow Southside	Scottish National Party	4413	191.526172672	1	1	1.17532706414E-006	0.00023
14022	James Kelly	Rutherglen	Labour	778	187.164524422	90	57	0.0006125574	0.07326
14089	Michael Russell	Argyll and Bute	Scottish National Party	3202	168.606808245	28	20	5.148184989E-005	0.00625
13993	Rob Gibson	Caithness, Sutherland and Ross	Scottish National Party	1321	228.965934898	3	3	9.83538838309E-006	0.00227
13980	Fergus Ewing	Inverness and Nairn	Scottish National Party	3079	197.510555375	1	1	0.000001632	0.00032
