area,2006,2009,2012
S01000001,3896,3954,4839
S01000002,6396,5949,6487
S01000003,4415,4539,5066
S01000004,6455,5622,5133
S01000005,3831,4774,4331
S01000006,2863,4194,4886
S01000007,5831,6355,5355
S01000008,6366,4928,4409
S01000009,3940,5096,5425
S01000010,3744,4835,4625
S01000011,5690,5955,5968
S01000012,3858,4161,4022
S01000013,4718,3793,4719
S01000014,5933,5473,5663
S01000015,6392,5272,5677
S01000016,4168,5990,4887
S01000017,4215,4206,3647
S01000018,6229,4639,5345
S01000019,3189,2999,6138
S01000020,4298,5189,5634
S01000021,4322,4104,4369
S01000022,3771,5207,5985
S01000023,5418,6396,5877
S01000024,6036,5760,6196
S01000025,3815,4817,6000
S01000026,1590,671,2537
S01000027,4162,3131,5644
S01000028,2053,2225,3521
S01000029,5931,6493,6466
S01000030,3407,2940,1972
S01000031,4891,6117,6103
S01000032,1545,1329,2510
S01000033,838,517,1002
S01000034,4847,5808,5504
S01000035,1510,1563,1233
S01000036,3684,2017,1986
S01000037,816,597,279
S01000038,1344,2051,2131
S01000039,2755,2098,3429
S01000040,2299,2053,1688
S01000041,2773,3398,3712
S01000042,2128,1284,2612
S01000043,707,1226,1379
S01000044,2330,1060,1281
S01000045,6097,6427,5518
S01000046,5319,6136,5019
S01000047,4732,2994,3054
S01000048,4773,3807,4691
S01000049,5035,6004,6487
S01000050,4776,4491,3905
S01000051,6155,6266,5469
S01000052,999,1780,1429
S01000053,5424,3353,4011
S01000054,5193,4872,5864
S01000055,836,585,742
S01000056,5092,6060,4058
S01000057,537,347,240
S01000058,3995,4307,4450
S01000059,3997,3856,2900
S01000060,1111,484,226
S01000061,4692,5462,4544
S01000062,5023,5743,3356
S01000063,5127,3626,4860
S01000064,1873,1037,1352
S01000065,4363,4476,3117
S01000066,207,102,57
S01000067,5567,6201,5220
S01000068,4725,4379,4933
S01000069,709,563,539
S01000070,2354,744,977
S01000071,550,335,1022
S01000072,1838,1611,2133
S01000073,5791,5035,5806
S01000074,1058,835,964
S01000075,4413,3948,1399
S01000076,5989,5241,5434
S01000077,5050,5281,4427
S01000078,1250,591,369
S01000079,2673,3295,3572
S01000080,1992,2540,2604
S01000081,5345,5026,4129
S01000082,671,389,409
S01000083,3586,3199,4572
S01000084,133,35,131
S01000085,2649,2049,2190
S01000086,3659,3623,2206
S01000087,3398,2535,4093
S01000088,4254,4991,3799
S01000089,6052,5336,5114
S01000090,2518,3799,2960
S01000091,4384,4095,2126
S01000092,1870,1353,1656
S01000093,1742,3650,2075
S01000094,1148,4292,1106
S01000095,4524,4993,3699
S01000096,2295,3079,2585
S01000097,1726,2174,3361
S01000098,58,44,19
S01000099,4378,3978,5032
S01000100,6,11,23
S01000101,319,643,253
S01000102,190,138,113
S01000103,2221,1514,1044
S01000104,4821,3480,5061
S01000105,2850,4149,4165
S01000106,4945,3816,4752
S01000107,13,12,5
S01000108,196,269,235
S01000109,11,8,2
S01000110,3015,3631,4055
S01000111,4019,3394,2921
S01000112,2004,1517,754
S01000113,5026,3448,4716
S01000114,2891,1862,1279
S01000115,2721,2881,2673
S01000116,3910,2468,3205
S01000117,3446,3926,5135
S01000118,1548,1016,1207
S01000119,1380,1153,787
S01000120,3989,3144,2245
S01000121,47,212,4990
S01000122,937,1448,1248
S01000123,3694,3853,5002
S01000124,3165,1907,1507
S01000125,194,36,504
S01000126,743,747,300
S01000127,4574,4533,4628
S01000128,736,596,666
S01000129,1180,650,1329
S01000130,571,1215,1072
S01000131,2380,2875,2919
S01000132,2282,1948,2463
S01000133,4309,3111,1361
S01000134,1715,2765,1089
S01000135,759,445,804
S01000136,260,557,355
S01000137,1306,1533,1130
S01000138,873,837,743
S01000139,4317,3575,2636
S01000140,3473,3725,2451
S01000141,784,871,685
S01000142,1126,736,1865
S01000143,5888,5855,5407
S01000144,964,2603,1320
S01000145,2882,2217,1276
S01000146,543,711,1243
S01000147,2098,2252,1096
S01000148,1177,1937,507
S01000149,856,1195,1217
S01000150,1893,2646,1790
S01000151,3176,2671,2117
S01000152,1186,1810,1158
S01000153,1388,2498,2718
S01000154,2953,4358,2310
S01000155,1409,1975,1330
S01000156,677,489,1012
S01000157,880,937,402
S01000158,1638,1781,2514
S01000159,4792,6075,4506
S01000160,3973,4563,3061
S01000161,2398,3207,3820
S01000162,3351,2464,2554
S01000163,1132,2173,1501
S01000164,2886,2442,2592
S01000165,1202,1115,1118
S01000166,2793,4203,2700
S01000167,2237,4812,3106
S01000168,2236,2208,1531
S01000169,1972,2380,2275
S01000170,2345,2776,3167
S01000171,6183,6179,4245
S01000172,4088,4646,4446
S01000173,2284,2133,2089
S01000174,5930,6054,6009
S01000175,870,1100,335
S01000176,3228,3849,5551
S01000177,3965,2143,2757
S01000178,767,2193,1845
S01000179,1530,620,560
S01000180,1657,2512,2884
S01000181,203,163,668
S01000182,1001,3620,3118
S01000183,218,682,429
S01000184,2783,1998,2845
S01000185,1927,419,465
S01000186,3914,2334,2653
S01000187,1921,546,1686
S01000188,1919,2534,1725
S01000189,556,1045,935
S01000190,150,767,367
S01000191,2036,3066,2614
S01000192,555,896,715
S01000193,1117,2427,1997
S01000194,208,238,287
S01000195,426,697,656
S01000196,169,196,107
S01000197,811,2159,2105
S01000198,348,381,648
S01000199,98,214,323
S01000200,1308,1381,1614
S01000201,2664,3151,1979
S01000202,1341,1397,1278
S01000203,33,149,219
S01000204,1783,2037,1335
S01000205,2666,1168,1672
S01000206,1284,2244,2630
S01000207,2019,1803,1241
S01000208,134,282,184
S01000209,79,87,234
S01000210,42,274,291
S01000211,102,1126,230
S01000212,1314,1694,1561
S01000213,371,329,133
S01000214,3154,5710,3783
S01000215,3547,3072,2100
S01000216,1553,1482,3279
S01000217,154,160,360
S01000218,850,1011,1645
S01000219,273,1164,1372
S01000220,3767,4064,4361
S01000221,2238,2266,1411
S01000222,2920,3706,1444
S01000223,674,777,2610
S01000224,2644,2749,2233
S01000225,3908,3619,2913
S01000226,4677,3465,3827
S01000227,5057,5069,5144
S01000228,198,253,319
S01000229,251,372,1145
S01000230,4957,2899,1466
S01000231,6103,5196,4774
S01000232,310,2839,1405
S01000233,4547,4557,4790
S01000234,5589,3902,2886
S01000235,5300,5291,3854
S01000236,4948,5345,3966
S01000237,3191,4951,4485
S01000238,4855,3187,5817
S01000239,5161,4531,3268
S01000240,4892,3977,2570
S01000241,4759,3825,5590
S01000242,1288,2709,3249
S01000243,5907,6332,5040
S01000244,534,791,1091
S01000245,5045,3982,4705
S01000246,6077,5309,5903
S01000247,6313,6339,6115
S01000248,6043,6370,5127
S01000249,4316,5777,6125
S01000250,1789,2808,1039
S01000251,5906,6493,6097
S01000252,5484,6299,4923
S01000253,5713,5905,5526
S01000254,3465,5633,3870
S01000255,6441,5560,5966
S01000256,4060,4315,3021
S01000257,3098,3566,2821
S01000258,6456,5503,5860
S01000259,5946,6432,6398
S01000260,5468,5205,6461
S01000261,3533,4977,3963
S01000262,3786,3188,2051
S01000263,2528,3956,3346
S01000264,4802,5214,3098
S01000265,4689,3992,2357
S01000266,2289,4298,3422
S01000267,1467,1487,1013
S01000268,3798,3916,2724
S01000269,5892,4516,6326
S01000270,4238,5414,5859
S01000271,3605,3454,4796
S01000272,3752,5663,3788
S01000273,4423,4238,3367
S01000274,3946,4675,4898
S01000275,4198,5419,5063
S01000276,5635,5908,6441
S01000277,3048,2711,1745
S01000278,2535,2356,3044
S01000279,4484,4142,3942
S01000280,3204,6092,5490
S01000281,6067,5360,4949
S01000282,5304,5486,4793
S01000283,4932,6102,5170
S01000284,4200,5440,4975
S01000285,3626,3829,3458
S01000286,2991,3967,3313
S01000287,5195,4945,4122
S01000288,4232,4572,5332
