Generated by data.opendatascotland.org,2014-02-20T14:00:02+00:00
http://data.opendatascotland.org/data/simd/geographic-access-rank,"Scottish Index of Multiple Deprivation, Geographic Access Rank"

,,http://reference.data.gov.uk/id/year/2004,http://reference.data.gov.uk/id/year/2006,http://reference.data.gov.uk/id/year/2009,http://reference.data.gov.uk/id/year/2012
http://data.opendatascotland.org/def/statistical-dimensions/refArea,Reference area,2004,2006,2009,2012
http://statistics.data.gov.uk/id/statistical-geography/S01000001,Data Zone S01000001,4057,4144,4200,3420
http://statistics.data.gov.uk/id/statistical-geography/S01000002,Data Zone S01000002,2977,1316,1317,2151
http://statistics.data.gov.uk/id/statistical-geography/S01000003,Data Zone S01000003,2987,1688,1873,3036
http://statistics.data.gov.uk/id/statistical-geography/S01000004,Data Zone S01000004,1624,1146,1035,1462
http://statistics.data.gov.uk/id/statistical-geography/S01000005,Data Zone S01000005,3153,3322,3542,3431
http://statistics.data.gov.uk/id/statistical-geography/S01000006,Data Zone S01000006,5501,4818,5335,5577
http://statistics.data.gov.uk/id/statistical-geography/S01000007,Data Zone S01000007,4782,4518,5448,5160
http://statistics.data.gov.uk/id/statistical-geography/S01000008,Data Zone S01000008,3824,4245,4188,3950
http://statistics.data.gov.uk/id/statistical-geography/S01000009,Data Zone S01000009,4171,3410,3851,2725
http://statistics.data.gov.uk/id/statistical-geography/S01000010,Data Zone S01000010,2035,1740,1696,3855
http://statistics.data.gov.uk/id/statistical-geography/S01000011,Data Zone S01000011,1431,1142,1805,1623
http://statistics.data.gov.uk/id/statistical-geography/S01000012,Data Zone S01000012,1574,1240,890,1201
http://statistics.data.gov.uk/id/statistical-geography/S01000013,Data Zone S01000013,1515,1785,2005,1679
http://statistics.data.gov.uk/id/statistical-geography/S01000014,Data Zone S01000014,2084,2176,2270,1987
http://statistics.data.gov.uk/id/statistical-geography/S01000015,Data Zone S01000015,2804,1976,1544,4155
http://statistics.data.gov.uk/id/statistical-geography/S01000016,Data Zone S01000016,819,1147,1499,1207
http://statistics.data.gov.uk/id/statistical-geography/S01000017,Data Zone S01000017,3082,2411,2527,3721
http://statistics.data.gov.uk/id/statistical-geography/S01000018,Data Zone S01000018,2843,1921,1950,4031
http://statistics.data.gov.uk/id/statistical-geography/S01000019,Data Zone S01000019,1398,973,1679,1524
http://statistics.data.gov.uk/id/statistical-geography/S01000020,Data Zone S01000020,3758,1917,2184,1662
http://statistics.data.gov.uk/id/statistical-geography/S01000021,Data Zone S01000021,3323,2387,2685,2609
http://statistics.data.gov.uk/id/statistical-geography/S01000022,Data Zone S01000022,1621,1110,1243,961
http://statistics.data.gov.uk/id/statistical-geography/S01000023,Data Zone S01000023,771,540,745,723
http://statistics.data.gov.uk/id/statistical-geography/S01000024,Data Zone S01000024,623,556,548,530
http://statistics.data.gov.uk/id/statistical-geography/S01000025,Data Zone S01000025,1951,1542,1302,964
http://statistics.data.gov.uk/id/statistical-geography/S01000026,Data Zone S01000026,4624,4554,4354,3570
http://statistics.data.gov.uk/id/statistical-geography/S01000027,Data Zone S01000027,3066,1818,2337,1549
http://statistics.data.gov.uk/id/statistical-geography/S01000028,Data Zone S01000028,4960,3748,3662,4282
http://statistics.data.gov.uk/id/statistical-geography/S01000029,Data Zone S01000029,869,647,743,678
http://statistics.data.gov.uk/id/statistical-geography/S01000030,Data Zone S01000030,4182,4072,3481,3652
http://statistics.data.gov.uk/id/statistical-geography/S01000031,Data Zone S01000031,4048,1832,3061,2027
http://statistics.data.gov.uk/id/statistical-geography/S01000032,Data Zone S01000032,4537,3798,3316,3662
http://statistics.data.gov.uk/id/statistical-geography/S01000033,Data Zone S01000033,4824,4481,4804,5517
http://statistics.data.gov.uk/id/statistical-geography/S01000034,Data Zone S01000034,2011,1272,2116,1353
