Reference area,2004,2006,2009,2012
S01000001,5459,4897,5175,4726
S01000002,6150,5807,6071,6214
S01000003,6000,5906,5984,6238
S01000004,5869,5973,5957,6068
S01000005,6049,5732,5886,5883
S01000006,4339,4208,4064,4812
S01000007,6184,6092,6273,6171
S01000008,4357,5266,5080,4548
S01000009,4882,4532,4778,5159
S01000010,5477,5650,5332,6092
S01000011,6162,6104,6276,6002
S01000012,5372,5463,5237,5491
S01000013,4838,4725,4044,4702
S01000014,5035,4928,5136,5274
S01000015,5766,5842,5586,6210
S01000016,5923,6071,6209,6162
S01000017,5353,4723,4524,4808
S01000018,4795,4799,4471,4908
S01000019,6076,5951,5962,5918
S01000020,3395,3122,3835,4026
S01000021,4213,3837,4248,3982
S01000022,6345,6099,6187,6167
S01000023,6072,5817,6024,6000
S01000024,5252,5500,5516,5602
S01000025,6244,6184,6087,6010
S01000026,2062,1374,1466,1260
S01000027,6311,6072,6084,5980
S01000028,2493,2175,2366,2052
S01000029,6166,6025,6052,6042
S01000030,2106,2449,2148,2448
S01000031,6336,6109,6365,6174
S01000032,3586,2798,2905,2591
S01000033,1535,1411,1369,1519
S01000034,5388,6045,6389,6224
S01000035,2836,2729,2831,2969
S01000036,2314,1871,1839,1585
S01000037,2626,2214,1829,2382
S01000038,3543,3138,3331,3264
S01000039,1991,2313,2672,2536
S01000040,2978,2719,2700,2909
S01000041,4184,3464,3810,3925
S01000042,3210,2457,2355,2431
S01000043,4310,3391,3926,3619
S01000044,1572,1099,1347,1350
S01000045,6297,6161,6311,6084
S01000046,6439,6202,6339,6159
S01000047,3020,2896,3571,3501
S01000048,6460,6360,6335,6233
S01000049,6312,6125,6308,6066
S01000050,5192,6139,5841,5744
S01000051,5988,5896,6032,6245
S01000052,988,910,813,700
S01000053,5299,5299,5408,4991
S01000054,6294,5987,6020,6071
S01000055,1119,610,790,1103
S01000056,5920,5637,5789,5629
S01000057,1042,825,675,784
S01000058,6494,6437,6416,6181
S01000059,6046,6088,6324,6141
S01000060,394,136,249,221
S01000061,6231,6105,6168,6244
S01000062,6355,6440,6363,6179
S01000063,6463,6407,6323,6340
S01000064,3735,3075,3631,4322
S01000065,5283,5245,5050,4475
S01000066,2325,1802,1873,1971
S01000067,6145,5670,5955,5885
S01000068,6252,6097,6239,5945
S01000069,1325,1191,934,1290
S01000070,1585,1654,1962,2059
S01000071,902,632,800,1079
S01000072,4621,3942,4053,3608
S01000073,6301,6334,6359,6394
S01000074,520,392,388,571
S01000075,5784,5358,5588,5526
S01000076,5979,6199,6233,6182
S01000077,6424,5667,6025,6103
S01000078,1880,1438,1595,1818
S01000079,6124,5555,6113,6197
S01000080,5631,5346,5603,5541
S01000081,6484,6442,6444,6424
S01000082,1542,1392,1340,1063
S01000083,6347,6435,6374,6441
S01000084,1672,1094,1029,1095
S01000085,3984,4445,4398,4082
S01000086,5956,5996,6153,6003
S01000087,6227,6103,6368,6320
S01000088,5234,5465,6063,5993
S01000089,5921,6210,6380,6219
S01000090,6234,6285,6325,6296
S01000091,4147,4392,4604,4453
S01000092,5602,5794,5975,5727
S01000093,4151,3841,4728,4405
S01000094,5004,4240,5350,5400
S01000095,6320,6310,6433,6413
S01000096,1910,1629,1825,1793
S01000097,6490,6253,6457,6428
S01000098,1824,974,1258,1703
S01000099,6392,6441,6319,6341
S01000100,3933,1760,1832,2693
S01000101,6410,5816,6205,5991
S01000102,1816,1288,1522,1760
S01000103,5748,5868,6053,6201
S01000104,6271,6359,6243,6302
S01000105,6041,5941,5736,5784
S01000106,6502,6497,6477,6439
S01000107,3535,2063,2480,3020
S01000108,1968,1735,1934,2112
S01000109,3282,2345,3074,3183
S01000110,4325,4594,4723,4189
S01000111,6344,6343,6191,6241
S01000112,2506,2706,2952,2947
S01000113,6472,6418,6452,6490
S01000114,2022,1789,1852,2113
S01000115,2296,1913,2331,2434
S01000116,5616,6146,6154,6142
S01000117,6288,5928,5938,5618
S01000118,2812,3056,2841,3216
S01000119,2570,2246,2032,2176
